"x"
"content1" "x"
"content737" " entre la nuit la nuit et laurorenentre le royaume des vivants et des morts"
"content738" " ah je lai mal entendu lhorror se ressemble laurore"
"content739" " lo malo de arcade fire es sacan disco 💯 años"
"content740" " reflection reflection reflection reflection nn realitynd earth armageddon dude"
"content741" " great song super boring video"
"content742" " damn love song"
"content743" " min seria genial si hicieran canción nueva allí sobretodo del min "
"content744" " got reflekt"
"content745" " anyone else notice reoccurring poster album reasons "
"content746" " ladies gentlemen gem quebec"
"content747" " bizarre"
"content748" " arcade fire recently posted photo compared radiohead come check nntheyre fucking radiohead arcade fire compares radiohead paraplegic compares usain boltnnlike special olympics compared actual olympics"
"content749" " ugh absolutely love bands radiohead better still arcade fire fucking amazing"
"content750" " clay old radiohead deadly got serious dickhead fans"
"content751" " derek d thank "
"content752" " disinfectant hear xd"
"content753" " d"
"content754" " creepy funny"
"content755" " cant stop listening song video idiotically artsy reminds days film school stupid yet somehow clever nonsense got guys bigger jesus"
"content756" " know bowies sing isnt singing speaking reflektor "
"content757" " yes"
"content758" " song million views ni song o o"
"content759" " reflection reflection reflection reflection reflection"
"content760" " part always give chills bowies voice enters beautiful weird universe truly shortest minute song world almost always listen twice row though m big fan afs early work song completely shatters pun intended "
"content761" " merci"
"content762" " bowie mirror suit"
"content763" " anyone know kind equipment using specifically synth keyboard effects"
"content764" " confused"
"content765" " heads creep "
"content766" " chef dœuvre masterpiece"
"content767" " bowie didnt work anyone says lot band loved work nice track loved "
"content768" " crazy liked song first heard fell love know absolutely haunting makes sense now woke dead sleep new bowie relatively speaking ever "
"content769" " rubbish liner sparkles head looks piece toast"
"content770" " trapped prism prism lightnalone darkness darkness whitenwe fell love alone stagennin reflective agennentre la nuit la nuit et laurorenentre les royaumes des vivants et des mortsnif heavenni dont know s nif t find ni dont carenni thought found enternits reflektor reflektorni thought found connectornits reflektor reflektornnnow signals send deflected nwere still connected friendsnwe fell love nineteennand staring screennnentre la nuit la nuit et laurorenentre les voyants les vivants et les mortsnif heavenni something njust place alonencause re homenni thought found enternits reflektor reflektorni thought found connectornits reflektor reflektornnjust reflektornits reflektor reflektornits reflektor reflektornits reflektor reflektornjust reflektornjust reflektor reflektornjust reflektor reflektornjust reflektornjust reflektornjust reflektor reflektornjust reflektor reflektornits reflectionnnof reflectionnof reflectionnof reflectionnof reflectionnwill sidenwe got things hidenits reflectionnof reflectionnof reflectionnof reflectionnof reflectionnwill sidennwe got things hidennour song escapes neon silver discsnour love plastic ll break bitsni break free break ndown nndont mess aroundni thought found enternits reflektor reflektorni thought found connectornnits reflektor reflektornits reflektornits reflektor reflektornits reflektor reflektornits reflektor reflektornthought bring resurrectornturns reflektornnits reflektor reflektornthought bring resurrectornturns reflektornnits reflektor reflektornthought bring resurrectornturns reflektornits reflektor reflektornits reflektor reflektornjust reflektornjust reflektornjust reflektornwill sidenjust reflektornwill sidenwe got things hidenjust reflektornwill side"
"content771" " awesome song"
"content772" " good song"
"content773" " masterpiece"
"content774" " iconic song swear god"
"content775" " bowie s"
"content776" " arcade fire unique band awesome song"
"content777" " flashy suit"
"content778" " eerie fascinating"
"content779" " canción y video qlo gueno"
"content780" " dig "
"content781" " song gives pink floyds wall vibes"
"content782" " omg fantastic music guys incredible"
"content783" " conosco al grupo rola mmlona"
"content784" " сто тысяча лайков этот музыкальный видео"
"content785" " favorite song "
"content786" " precious thanks lot"
"content787" " love regine starts singing shit en francais"
"content788" " bowiee "
"content789" " big vector"
"content790" " t always hate people towards whole album album definition best bands world pioneering experimenting innovating infusion ss disco electronica dance punk yah know james murphy main producers list twisted synthesizing core arcade fire together long standing interpretations aesthetics life death best works fact lps equally brilliant "
"content791" " first four albums masterpieces disappointed everything now hope back basics "
"content792" " speaking janes murphy lcd soundsystemesque song ve ever heard band wasnt lcd soundsystem mean compliment"
"content793" " song good lol "
"content794" " entre la nuit la nuit et laurore entre le royame des vivants et des morts"
"content795" " reflection affection reflection reflection "
"content796" " instrumental intronnverse ntrapped prison prism lightnalone darkness darkness whitenwe fell love alone stagenin reflective agennpre chorus régine chassagnenentre la nuit la nuit et l’aurorenentre le royaume des vivants et des mortsnif heavenni dont know ’s nif ’t find ni dont carennchorusni thought found enternit’s reflektor s reflektorni thought found connectornit’s reflektor s reflektornnverse nnow signals send deflected nwere connected friendsnwe fell love nineteennand now re staring screennnpre chorus variation régine chassagnenentre la nuit la nuit et l’aurorenentre le royaume des vivants et des mortsnif heavenni something njust place alonencause re homennchorusnnbridge nit’s reflection reflectionnof reflection reflectionnbut sidenwe got things hidenit’s reflection reflectionnof reflection reflectionnbut sidenwe got things hidenall right lets go backnnverse nour song skips little silver discsnour love plastic ll break bitsni break free break ndown ndont mess aroundnnchorusnnbridge david bowie win butlernthought praying resurrectornturns reflector ’s reflectornthought praying resurrectornturns reflector ’s reflectornthought praying resurrectornturns reflector ’s reflectornnoutronit’s reflectornit’s reflectornjust reflectornbut sidenit’s reflectornbut sidenwe got things hidenit’s reflectornbut side"
"content797" " m s two types musicbad good later"
"content798" " metaphor lacan’s mirror stage baby projects onto “” seek obtain selfness exciting moment trotte bébé band members crawling vast field babies thus corresponding stage controlling bodies consciously bank members rose thus declared completion baby walking building image developing nervous system baby stand walk now mirror image stage completes"
"content799" " dr kropps s s social media re connecting people s reflection personal taste self image"
"content800" " first didnt song listened amazing"
"content801" " reflection alternative reality "
"content802" " feel james murphy "
"content803" " m plenty write ups theories video symbolism little obtuse least part seems imply song couple love slowly grew apart last ditch effort revitalize relationship start children coffin full baby dolls give away along truck coffin bright reflective covered partly cds places think death couples partying lifestyle babies inside consequences leaving old life behind truck saying nine bold lettering back split middle vaginal nature people back throwing babies multiple births couple keep kids fill loveless void"
"content804" " immense real top class"
"content805" " without doubt greatest song ever crafted"
"content806" " without doubt greatest song ever crafted"
"content807" " ningun comentario en español uu yo amo cancion es tan genial"
"content808" " hola videoclip lo publicaron justo el de mi cumple el de septiembre cuando cumpli "
"content809" " quieren hacer colaboracion"
"content810" " le hago canten cancion en celaya mexico"
"content811" " treeemendous"
"content812" " smoke joint dance"
"content813" " "
"content814" " aye"
"content815" " brilliantly stated arcade fire m impressed deep knowledge ultimate tool reflect "
"content816" " “fantastically fanatic”"
"content817" " nine"
"content818" " since found song t live day without listening "
"content819" " woooow voice sounds falco "
"content820" " song weird af captivating making conflicted"
"content821" " love richard hahaha reflektor ren numero uno fan fo evaaaaaaaaa"
"content822" " hey sound quality shit low overcompressed spotify"
"content823" " probably bad rip idfk"
"content824" " david arcade reflektor side"
"content825" " recognize song"
"content826" " minuto follo su madre"
"content827" " min ronaldo toty"
"content828" " dale marvadooooos"
"content829" " david bowie"
"content830" " de lo mismo cual es asombro"
"content831" " song captures bittersweetness psychedelic drug use ve tripped times think ve discovered god long last start realize everything saw already mind soul begin s reflektor"
"content832" " mean meaning"
"content833" " posthumously david bowies lyrics poignant"
"content834" " yes yesss yessssssssssss god delicious"
"content835" " yeah fucking "
"content836" " hate drawn intoxicated several occasions view bloody thing beyond chic pop musings dont fuck listening shit dont take seriously"
"content837" " love "
"content838" " david bowie haunting vocals rest great soul miss "
"content839" " rip"
"content840" " aw thought bowies voice almost cried"
"content841" " bowie everyone else jerks radiohead"
"content842" " realized david thanks comment probably listened song hundred times never realized thanks"
"content843" " think arcade fire better bowie "
"content844" " lulu stylez snif"
"content845" " lauri feels great know sung part great artist"
"content846" " fuck negatives credit card pop"
"content847" " 😍🤘"
"content848" " nfav part "
"content849" " maybe mike posner dropped pill "
"content850" " lo más amo es la voz de bowie unos cuantos segundos en está canción 😁"
"content851" " got things hide"
"content852" " wow havent seen video years s fantastic"
"content853" " en canción pareciera le hacen reverencia michael jackson el tipo vestido de espejos es el y el estilo conlleva la canción hacen recordar sus mismas obras de jackson aclaro soy fan de mj"
"content854" " rp bowie"
"content855" " new interesting"
"content856" " t good song masterpiece good rhythm composition everything s reflector imagine original original"
"content857" " age people look truly connected close friends band gift earth bowie knew "
"content858" " love arcade fire lit"
"content859" " hell yeah"
"content860" " good"
"content861" " favourite song 🙌🏽"
"content862" " ive always heard good guys never listened now s different isnt normal type jam fucking dig s groovy needs layered"
"content863" " freaking love song min saxophones give chills s incredible song "
"content864" " bowie"
"content865" " je viens de réécouter ce morceau recherche musicale assurée dure longtemps du bonheur"
"content866" " set ok starting last measure sing nenjoy silencenagain idea"
"content867" " david bowie vocalsnd"
"content868" " ✌🏻"
"content869" " audiovisual masterpiece"
"content870" " m ready new album"
"content871" " discovery bowies feature song yesterday gave amazing creeps ever starman among us"
"content872" " much hate created beat nobody else attempt s reflektor"
"content873" " fantastic"
"content874" " hey guys ever heard guitar whatever"
"content875" " devfianjulius simputra keyboard synth guitar"
"content876" " ryan willis oh sorry maybe im wrong "
"content877" " s thing spent long looking song now forgot hear movie show another media s killing anybody help "
"content878" " necross heard song snl"
"content879" " lisa patterson maybe thanks lot"
"content880" " 😍"
"content881" " scariest shitnnnnnnnnnbut songs cool"
"content882" " anyone searching god take good look mirrorbam found god live life fullest potential search god trap push farther away god connection already tricked first snipe hunt find duped snipe trickery gotta pass crude trick generation keeps going mirror facing another mirror trying find true reflection infinite reflection open third eye direct contact universe cause open cant closed kinda seen cant unseen tetragrammaton bless "
"content883" " preciosa candion si tengo premiar te doy un jajajaja y en español"
"content884" " david bowie "
"content885" " perception reflection reaction awareness "
"content886" " el lobo ndamn dats deep"
"content887" " mrzee ą ąą"
"content888" " "
"content889" " mind explode return origin things xd"
"content890" " carl jung"
"content891" " kool"
"content892" " great track bridge sick"
"content893" " looks bucky barnes well since civil war"
"content894" " best song ever"
"content895" " nah"
"content896" " king d exile haha"
"content897" " bowenier nwithout doubt"
"content898" " disagree"
"content899" " seviyoruz"
"content900" " reflektor"
"content901" " s conductor"
"content902" " guauuuuuuu guauuuuuuu guauuuuuuu"
"content903" " amazing song video coolest video ve ever seen lsd condoning druguse holy crap story mind blowing page lot ideas concepts ve life changing psychedelic experiences maybe nothing close got got something great loved bit ether deep song video stellar video grateful creative genius bad mudda funkadoos"
"content904" " skyeyes tell experience sounds cool af"
"content905" " find experience ll swap stories maybe ll find person different experience life reflections reflections side things hidelove "
"content906" " crazy good"
"content907" " grazie mille"
"content908" " evol dig feel love ndont mess aroundndont mess aroundnits reflektor"
"content909" " thanks anton c"
"content910" " wont fall evol brainwashing re players disguise"
"content911" " songs suck bad"
"content912" " best songs first album funeral check neighborhood along rebellion lies"
"content913" " faces shitty opinions now spa dont barf place "
"content914" " tor parsons lol"
"content915" " vanhouten think sucks pretty good"
"content916" " "
"content917" " josu call country todo el sabor"
"content918" " jajaja de donde eres"
"content919" " found stolen head yet"
"content920" " tre song fantastic masks horrible"
"content921" " good low bass subs full blast power"
"content922" " great music car play full blast "
"content923" " blasted sht top last night cruising sunset boulevard motherfckers couldnt believe arcade fire forever"
"content924" " bmwi hahahaha awesome dude"
"content925" " f¥k ya loves "
"content926" " chad"
"content927" " bilingual fuck yeah canadians deal "
"content928" " keon doe montréal québec quebecpride"
"content929" " años buscando está jodida canción v"
"content930" " acaba de pasar lo mismo v"
"content931" " xd yo v"
"content932" " maravillosa"
"content933" " nine"
"content934" " magnificent album"
"content935" " cccp moto boy solitário jd palmira guarulhos brazil "
"content936" " purpose meaning dolls bowie ve laughed said hell know"
"content937" " doll heads reflection person representnotice video dance facing real real"
"content938" " came pitchfork"
"content939" " entre la nuit la nuit et laurorenentre la royaume des vivants et des morts"
"content940" " choose fucking wrong song"
"content941" " never forgetbring freedom xo"
"content942" " parallel universe dont cum "
"content943" " somebody translate german pls "
"content944" " gavbkk ireland haha"
"content945" " ado ado ich bin ein nudeln"
"content946" " s main chorusnnich dachte ich fand einen weg zu eintreten es ist nur ein reflektor ich dachte ich fand den konnektor es ist nur ein reflektor"
"content947" " reflection reflection reflection side"
"content948" " makes wanna giant paper mache head "
"content949" " love band video piano part starting ❤️❤️❤️"
"content950" " parte bowie é o ápice música"
"content951" " uno de los temas originales de los últimos tiempos ojala vengan la argentina pronto"
"content952" " good"
"content953" " entre la nuit la nuit et laurorenentre le royaume des vivants et des morts"
"content954" " mclove "
"content955" " oh egos "
"content956" " nightmeres now hory movie"
"content957" " encanta arcade fire "
"content958" " nina jasso mi igual "
"content959" " kevin pinal javier son putamente increíbles es de las pocas bandas actuales junto muse radiohead fue black keys y otras indie merecen la pena"
"content960" " muse jajajaja"
"content961" " star hood car pentragram reflekted discoball"
"content962" " decide song "
"content963" " "
"content964" " hope reflecktion realise "
"content965" " fascinating"
"content966" " feel gotta listen another times mind "
"content967" " remember"
"content968" " fucking reflection fuck "
"content969" " fucking art "
"content970" " música bela "
"content971" " quem é br e veio até curtir arcaaadeeeeeee fireeeeeee "
"content972" " clue song means try figure thats good bad"
"content973" " love arcade fire songs great"
"content974" " fell love now re staring screen nnthat line another song album suburbs"
"content975" " princess bubblegum s reflektion reflection"
"content976" " princess bubblegum ever listen albums least case suburbs right order s book"
"content977" " princess bubblegum fact win régine fell love nineteen"
"content978" " entre la nuit la nuit et laurorenentre le royaume des vivants et des morts nnentre la noche la noche y el albanentre el rieno de los vivos y de los muertos "
"content979" " nice spain hu yeah hate amway avon "
"content980" " song mucho mucho"
"content981" " buena canción"
"content982" " shit started real lmao"
"content983" " yeah mood quickly changes"
"content984" " bowie "
"content985" " kind expecting bowie guy mirror suit nawesome song missing bowie great collaboration"
"content986" " beezohow jajaja "
"content987" " got things hide"
"content988" " side"
"content989" " la escucho diario jajaja"
"content990" " looks lot canadian msvs used caf haha p"
"content991" " years ago today"
"content992" " think found new thumbnail video amazing"
"content993" " painful lost thumbnail dont envy "
"content994" " brocco neitherouuuuch "
"content995" " please come italy"
"content996" " band amazing"
"content997" " good song"
"content998" " illuminati "
"content999" " zero illuminati symbolism video believe song abhorring computer age social media"
"content1000" " jill peluso belive"
"content1001" " jill peluso nbigadiosynamite"
"content1002" " bowie lives x"
"content1003" " slower album right"
"content1004" " side"
"content1005" " favorite bands heard club la loved since another guy m digging kaleb hanly morning light reminds arcade bit"
"content1006" " wtf sounds scissors sisters used love af now much prefer elliott smith"
"content1007" " guys found arcade fire nnnnnnnnalso know david bowie movie prestige tesla found today "
"content1008" " good "
"content1009" " yea ve seen movie times never realized "
"content1010" " dude sarcastic retarded"
"content1011" " know bowie sings back vocals songs "
"content1012" " widm m pretty "
"content1013" " flst didnt recognize movie"
"content1014" " widm googled "
"content1015" " flst wtf u talking googled guy nicknamed carcosa yt knows bowie sings back vocals song"
"content1016" " widm hahah misunderstanding thought wondering bowie sang didnt realise asking "
"content1017" " best luddite songs past decade s got social media technological isolation excessive mediation tied floorboards"
"content1018" " dropped fedora"
"content1019" " yeah m bit unnecessarily verbose sometimes s bad habit mine s far enjoyable reducing forms communication negative archetypes unwashed libertarian basement dweller atheist success women"
"content1020" " ah fair enough dont know vindictive"
"content1021" " wait forgot name song jk love song bops"
"content1022" " andrew degirolamo s month joke failed already know"
"content1023" " ad hahahah love xd"
"content1024" " deflector"
"content1025" " butthole connector"
"content1026" " excuse asking group offer songs film ””"
"content1027" " yes "
"content1028" " yannick e thank songs sounded different ones "
"content1029" " yeah band long association spike jonze director fairly certain provided rerecorded version wake movie wild things "
"content1030" " composed instrumental music moon song written karen o yeah yeah yeahs"
"content1031" " buena banda"
"content1032" " song adictive"
"content1033" " beyond"
"content1034" " addictive cant hardly stop now bunch reflektors"
"content1035" " thanks anton c"
"content1036" " addictive"
"content1037" " agreed"
"content1038" " oh yes "
"content1039" " saritakano f yeah"
"content1040" " song arcade fire addictive"
"content1041" " saritakano ikr"
"content1042" " agree 💯"
"content1043" " antonio quilaqueo es"
"content1044" " adictive little "
"content1045" " agree"
"content1046" " saritakano someone needs d"
"content1047" " love song regine addictive "
"content1048" " agree "
"content1049" " uploaded new song sleepy vibes guarantee youll dig "
"content1050" " totally true couldn’t stop listening 😂"
"content1051" " dá errepio na espinha ouçoouvindo até "
"content1052" " é adorável saber músicas idolatro são tão extensas o"
"content1053" " muted jamie foxx turned th volume heaven"
"content1054" " música boa da porra"
"content1055" " shit talking heads b side bunch useless hipstercunts"
"content1056" " last mins song "
"content1057" " wtf t look away"
"content1058" " knoooowsmh"
"content1059" " j adore"
"content1060" " crazy fun video"
"content1061" " song needs radio edit version waaaay long"
"content1062" " s wrong long songs"
"content1063" " nothing wrong long version long songs condensed version"
"content1064" " radio edits blow ass"
"content1065" " reason clip min long"
"content1066" " umm arcade fire care less radio shortening songs creating art commercials radio"
"content1067" " happens damn instruments"
"content1068" " dad hate got arcade fire telling fuck "
"content1069" " nice history"
"content1070" " dont hate "
"content1071" " dad hate "
"content1072" " yeah wtf u father hate nif told fuck maybe big problem "
"content1073" " know dad comment"
"content1074" " ayy lmao giving best music thing ever giving m deserved"
"content1075" " hopefully fix s late"
"content1076" " best something horrible tell sucks fuck "
"content1077" " love "
"content1078" " dude remorse gobble future think twice im sorry yoda language dont speak english"
"content1079" " thats shame dont loved ones live best hate "
"content1080" " life "
"content1081" " good good good"
"content1082" " bad talking heads tribute band hope karaoke career goes well good "
"content1083" " everything"
"content1084" " weirdest video hit indie rock"
"content1085" " morning alarm alone darkness white french alarm stops now knwing exactly means alone now know alone know taken physically declared true true true love maggie "
"content1086" " leader ms maggiemagill re gonna drunk day drinking pure "
"content1087" " drink mypurewill"
"content1088" " doorsmaggie magill song goes maggie magill lives hill"
"content1089" " sad maggie feeling blue go buy abrand new pair shoes"
"content1090" " doors morrison hotel"
"content1091" " court court art argued come ray known maggie since yrs old song known since age song knew knows now love maggie true"
"content1092" " example look art courtroom australia example symbol unicorn something never ever existed strange judge evidence proceeding"
"content1093" " s religion thats art music play play play maggieray day day day"
"content1094" " atheist categorize god art else"
"content1095" " wonder judge local supreme ever walked talking chair looked symbol thought well certainly dont feel comfortable thing hanging head wonder "
"content1096" " came days working rake sydney nsw supreme courts art work anywhere except "
"content1097" " last night courts leaving told careful driving truck generator gates years old told till d positioned truck generator incredibly tight places considered good enough friday night oxford street lining exit gates look dead ahead sign balkans restuarant word frightens shit clipped gates years old night think gates moved touch got balkans sign panic attacked "
"content1098" " dude wtf "
"content1099" " shit talking heads load wank"
"content1100" " new favorite"
"content1101" " buena rola"
"content1102" " views fake boosted "
"content1103" " rip bowie x"
"content1104" " song favourite ever"
"content1105" " yes"
"content1106" " hell yeah s tuesday put giant head go weird field"
"content1107" " old army truck"
"content1108" " queniff r bahahah"
"content1109" " mondays dangerous "
"content1110" " laugh hard soda came nose hurt dont care m still laughing"
"content1111" " im "
"content1112" " hannah m head kinda looks young expresident jimmy carter lol politicians music videos suppose lol"
"content1113" " great idea date babe"
"content1114" " tuesday today years still song great"
"content1115" " cee hernandez hilarious thought noticed "
"content1116" " tuesdays tacos feel good humpday activity something look forward n thursdays thru tuesdays tacos wednesday sacrilege s rules sorry"
"content1117" " 😂😂😂😂 comment day ✌"
"content1118" " later lets play soccer disco ball"
"content1119" " favorite youtube comment ever"
"content1120" " love beginning song sounds swirl arcade fires familiar sound including sound piano beginning neighborhood eventually resolves drum fill throws right new groovy sound album"
"content1121" " look win gave regine truck hilarious"
"content1122" " lo mejor escuchado en tiempo"
"content1123" " hadnt heard half life ii long enough forgot song moves ground beneath pay attention "
"content1124" " death everything thats wild gods believed existence started culling process first order gods business rid woman child connection commonality mammal earth separate animals convince re better deserving much mere animals got th domesticated beast fellow making believe god true men women believed god basically serving wants thus controlling future insuring "
"content1125" " sounds someones rattling cage background song maybe hear sounds "
"content1126" " now left never raise voice line stuck wrote tumblr raising s voice different context line precious "
"content1127" " fuck arcade fire"
"content1128" " good weird video favorite things world youtube big heads smarter"
"content1129" " ahhh ll siiide got things hiiiide"
"content1130" " favorite songs world"
"content1131" " person s name richard s richflektor flektor"
"content1132" " yesssss"
"content1133" " metronomy"
"content1134" " freaking loves track"
"content1135" " pedazo de grupo muchísimas canciones de calidad y un aura de grupo especial diferente"
"content1136" " отличный группа "
"content1137" " search soundcloud uncoolcult check cover m huge fan album"
"content1138" " soundcloud uncoolcult reflektor arcade fire covernnplease check cover huge fan album"
"content1139" " insanely cool"
"content1140" " musica e fodaaaaaaa"
"content1141" " bowie miss "
"content1142" " nice"
"content1143" " bowie participation wikipediann richard reed parry noted day come basically came studio new york mixing listen stuff offered lend us services liked song fact basically threatened us dont hurry mix song might steal thought well dont go better dont sing version thankfully obliged happy "
"content1144" " power talent"
"content1145" " quote makes sound band werent fans didnt sad thang son bowie dying cancer mind ve featured voice free poppy piece crap nice leave world wrong hell bowie asked song d sing super short line times hopefully quote dude bragging meaning fan"
"content1146" " john razimus earth interpret quote cynically holy shit obviously joke anyone dayjob music going honoured feature david bowie music understand mutual respect david probably honoured part "
"content1147" " sw re idiot m real bowie fan re bandwagon hot topic fan death middle name start j chance lol"
"content1148" " john razimus back reasoning please looks t come actual argument took hurling unfounded insults lol"
"content1149" " got remember bowie fan arcade fire long gigs well remember right obviously genuinely loved tune friend band already tune "
"content1150" " fan david bowie understatement liked arcade fire lot found liked wonderful feeling indescribable xx"
"content1151" " sorry mate ve got sing nnre fakey cake maker aint got hoooooo"
"content1152" " hahaha m honoured s actually often people name count hand amount times people said since started using good years ago xx"
"content1153" " bowie amazing "
"content1154" " vic bobs recent masterchef peter kaye hooooot tooo oooo"
"content1155" " similar thing americans huge fan show called producers shortly death tell needed use pressure last gave permission anyone use d never approached knew liked things happen"
"content1156" " real fan 😆"
"content1157" " freaking cool"
"content1158" " gives chills"
"content1159" " single second wasted track"
"content1160" " bowie sorry knowing "
"content1161" " songs sing"
"content1162" " re dank memer ve probably heard changes shrek much "
"content1163" " oh cool thanks"
"content1164" " bowie revolutionary rock muscian recently passed reccomended space oddity ziggy stardust"
"content1165" " alejandro beltran look years david bowie first song ever heard "
"content1166" " dont know bowie truly fan music"
"content1167" " dang "
"content1168" " check ashes ashes lol"
"content1169" " m u heard bowies songs"
"content1170" " whataboutredlorry dont bet lot people didnt know listen death"
"content1171" " charles stiles mystery diners people radio bowie unknown hipster person lol"
"content1172" " abbe rosén heard song long ago radio"
"content1173" " dont worry knowing bowie means ve got hell load great music discover wish enjoy"
"content1174" " didnt know bowie quit edgy"
"content1175" " famous singer songwriter pop music musical career spanning back right s well right death earlier year"
"content1176" " "
"content1177" " guess sleeping sirens got song go music video "
"content1178" " simply best "
"content1179" " rip david bowie"
"content1180" " ther best song "
"content1181" " d"
"content1182" " blond violin girl"
"content1183" " believe went solo think toured group album"
"content1184" " performed w summer saw "
"content1185" " sarah neufeld still tours rather gorgeous imho"
"content1186" " definitely hear giorgio moroder chase influence"
"content1187" " someone fucking lyrics please"
"content1188" " hate song"
"content1189" " wow awesome hell missed band"
"content1190" " arcade fire legendary band check stuff d recommend personal favorite suburbs mostly everything album phenomenal"
"content1191" " t past masks looking jimmy carter"
"content1192" " totally"
"content1193" " zane w vanarsdale nnomg jimmy carter six lol thought guys full shit badcarter good guy bad president"
"content1194" " re right"
"content1195" " reminded point break patrick swayze"
"content1196" " agree"
"content1197" " nelly gonzalez moron"
"content1198" " m sorry philistine suggesting reflektor mirror looks lot pizza hutts droid companion vinny spaceballs"
"content1199" " yes"
"content1200" " else pizza gonna send "
"content1201" " beautiful video noir"
"content1202" " messed night m shrooms buddy put amazing asked david bowie said fucking whole song"
"content1203" " looks smoke much weed fricken weirdos"
"content1204" " bowies voice nnhow miss much guy"
"content1205" " t wait release new album hopefully year"
"content1206" " said sometime year recent interview"
"content1207" " m looking song sounds singer sounds arcade fire song dont think definitely sounds s song heard radio dont remember goes t anyway help "
"content1208" " nationality"
"content1209" " try darude sandstorm sounds similar"
"content1210" " duke ukulelenthats original"
"content1211" " possibly spandau ballet song gold"
"content1212" " hagan nthats good song specific sounded similar arcade fires sprawl ii"
"content1213" " two little boys rolph harris"
"content1214" " long live arcade fire"
"content1215" " s official date morons voted song probably future voters mcdonald trump"
"content1216" " geniales¡¡¡¡"
"content1217" " video creepy love "
"content1218" " comments david bowie might good idea sound dbowie idea"
"content1219" " love canadian bands"
"content1220" " epic"
"content1221" " hipsters "
"content1222" " david bowie forever"
"content1223" " yes nightmare wonder yes"
"content1224" " arcade fire better strokes"
"content1225" " based "
"content1226" " facts v"
"content1227" " fite v britbong"
"content1228" " different style "
"content1229" " oh please"
"content1230" " nah bro level style mean amazing couldnt agree opinion"
"content1231" " agree better body work"
"content1232" " better radiohead"
"content1233" " isaiah radiohead win far"
"content1234" " british rock ok perfer arcade fire"
"content1235" " isaiah prefer arcade strokes"
"content1236" " british rock meant perfer arcade fire radiohead"
"content1237" " prefer radiohead arcade prefer arcade strokes"
"content1238" " british rock killers"
"content1239" " killers suck balls"
"content1240" " british rock fair enough"
"content1241" " plus think take franz ferdinand ten times better thn aything strokes ever "
"content1242" " well said friend still love albumdamn straight"
"content1243" " isaiah bad taste"
"content1244" " re totally different styles comparing chocolate cheese something ween reference intended lol odd comparison "
"content1245" " comparation enter boths bands good ´cause differents styles sorry bro english good"
"content1246" " tuan jim comparison laugh crazy chocolate cheese"
"content1247" " thatsnotthepoint well chocalte obsiusly better"
"content1248" " isaiah lol definitely eat cheese chocolate m big sweets general basically re equally delicious different ways kinda point comparison"
"content1249" " ehhhh think strokes debut album better arcade fires"
"content1250" " close funeral suburbs"
"content1251" " bold statement considering strokes greatest band "
"content1252" " wow appallingly hip thing watch garden state times "
"content1253" " british rock quite😉"
"content1254" " henrique medina strokes best tampons brand"
"content1255" " british rock re right"
"content1256" " british rock strokes arent electronic music t form valid comparison "
"content1257" " please dont compare garbage strokes"
"content1258" " cheeseobsiusly"
"content1259" " probably important contemporary rock band world last half decade least yes better strokes"
"content1260" " strokes overrated band st century dullards"
"content1261" " ’m doctor ’m pretty hints better strokes"
"content1262" " arcade fire inspired red strokes wouldnt exist without "
"content1263" " part sung bowie great song voices mingle well together t tell bowies"
"content1264" " skye hawthorne thought bring resurrector starting "
"content1265" " deeply inspiring"
"content1266" " song amazing"
"content1267" " perfecta"
"content1268" " reflector pleasure meet think ve run reflectors busy"
"content1269" " star reflects inverted"
"content1270" " think song"
"content1271" " beginning video don papier mâché masks helmets goes long dispelling illusion art house film otherwise s gripping s mystery message conveyed least s lost overall worth watching listening "
"content1272" " ´t rhythm dancing"
"content1273" " don´t understand video love song actually video ¿whats meaning"
"content1274" " wear masks reminds payday "
"content1275" " holy shit da facking world awesome mamen de puta madre y chingona rola"
"content1276" " ♡♡♡♡♡"
"content1277" " rp bowie "
"content1278" " cynical"
"content1279" " hidden message"
"content1280" " french part translation thanks googlennbetween night night dawnnbetween realm living deadnnoriginalnentre la nuit la nuit et l’aurorenentre le royaume des vivants et des morts"
"content1281" " bravo"
"content1282" " t stop dancing"
"content1283" " horrible fucking song"
"content1284" " joking gorgeous"
"content1285" " comunity alternative rocknhttps wwwfacebook groups daydreamrock "
"content1286" " language "
"content1287" " feel black star heavily inspired arcade fire"
"content1288" " k pop vibe ¿"
"content1289" " azerbaijan"
"content1290" " turns reflector"
"content1291" " fear"
"content1292" " reflecktor super entity part david bowie impression win praying resurrector along turns reflecktor d praying resurrector reflecktor"
"content1293" " dead art reflection fear art fear reflection nnthe tragically hip trouble hen house lets stay engaged "
"content1294" " untill meet lets stay tight stay connected stay engaged"
"content1295" " s years since met band still favorite songs "
"content1296" " oh fuck going re read everything wrote past hrs ll trust s half bad sleep"
"content1297" " video go porno"
"content1298" " video clip porno"
"content1299" " play wild mutation inviting sooooo exciting play wild mutation rocknroll star"
"content1300" " another example album becomes personified ziggy stardust album turns person maybe listening turned someone m years old singalong songs now m still singalong come surprise arcade fire since affect d heard radio carsgo liked wasnt certain day certain things milling head heard song listen today intervention rushcutters bay sydney driving pull remained still listened near end crescendo builds working church life falls apart lost now still freaked drove nearest cd store bought funeral always grow expand album things clear things return addressed new thoughts come life pursue yep arcadefire brigade dont put fires start em"
